epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3822.48,1.27612,1.04811,1.30114,0.55283,0.69022,0.56854,0.33296,1.44835,1.23754,1.2668,0.0014456,0.0014456,0.0014456
58,3898.08,1.29834,1.0155,1.30567,0.56822,0.60326,0.5646,0.33134,1.4104,1.23255,1.24452,0.0014357,0.0014357,0.0014357
59,3965.46,1.27314,1.00584,1.29005,0.59674,0.65217,0.60394,0.36189,1.35973,1.15488,1.22436,0.0014258,0.0014258,0.0014258
60,4041.82,1.26713,1.0226,1.28846,0.61603,0.59783,0.58055,0.33555,1.39703,1.22482,1.2295,0.0014159,0.0014159,0.0014159
61,4109.57,1.25494,1.02157,1.26456,0.52004,0.60326,0.53154,0.3179,1.3775,1.24517,1.25616,0.001406,0.001406,0.001406
62,4175.43,1.26507,1.01215,1.28252,0.55738,0.6228,0.56727,0.32413,1.41692,1.23127,1.25719,0.0013961,0.0013961,0.0013961
63,4241.84,1.25116,0.97302,1.28084,0.59146,0.68478,0.59147,0.33813,1.39578,1.20093,1.25602,0.0013862,0.0013862,0.0013862
64,4308.36,1.24679,0.97851,1.2652,0.54568,0.64674,0.54912,0.32415,1.40024,1.21671,1.27295,0.0013763,0.0013763,0.0013763
65,4374.96,1.25262,1.05939,1.29476,0.56325,0.63043,0.55655,0.33622,1.37093,1.26221,1.21852,0.0013664,0.0013664,0.0013664
66,4441.8,1.23916,1.03188,1.27783,0.59146,0.60326,0.56175,0.33958,1.3309,1.23519,1.20598,0.0013565,0.0013565,0.0013565
67,4509.14,1.24019,0.97258,1.27965,0.59866,0.63587,0.59211,0.34197,1.37727,1.19364,1.2386,0.0013466,0.0013466,0.0013466
68,4575.59,1.25554,0.98107,1.28225,0.5833,0.61957,0.56514,0.31997,1.51328,1.29505,1.29646,0.0013367,0.0013367,0.0013367
69,4641.78,1.22827,0.98166,1.26392,0.68322,0.66813,0.63445,0.37126,1.37064,1.1377,1.24988,0.0013268,0.0013268,0.0013268
70,4717.3,1.23219,0.96494,1.27093,0.61275,0.66304,0.60858,0.36938,1.34572,1.18629,1.22595,0.0013169,0.0013169,0.0013169
71,4783.24,1.22789,0.97133,1.26104,0.60275,0.65146,0.59455,0.35107,1.37462,1.22747,1.22015,0.001307,0.001307,0.001307
72,4850.28,1.19697,0.94771,1.23322,0.59712,0.6283,0.55927,0.3273,1.43685,1.19409,1.25771,0.0012971,0.0012971,0.0012971
73,4916.39,1.19961,0.95986,1.22795,0.65183,0.63043,0.61699,0.36255,1.37216,1.14418,1.2248,0.0012872,0.0012872,0.0012872
74,4984.18,1.24489,0.95793,1.27738,0.59562,0.58152,0.58502,0.33277,1.44623,1.21655,1.25564,0.0012773,0.0012773,0.0012773
75,5052.17,1.24911,0.95621,1.26612,0.62051,0.6413,0.5882,0.35461,1.38707,1.17589,1.25056,0.0012674,0.0012674,0.0012674
76,5119.89,1.23279,0.93879,1.23627,0.58479,0.71739,0.61035,0.34448,1.3834,1.18952,1.22903,0.0012575,0.0012575,0.0012575
77,5186.09,1.22278,0.95707,1.26471,0.66704,0.65217,0.63007,0.36649,1.34086,1.15448,1.21454,0.0012476,0.0012476,0.0012476
78,5253.82,1.21274,0.91946,1.24764,0.606,0.66304,0.59869,0.35462,1.3893,1.16889,1.21499,0.0012377,0.0012377,0.0012377
79,5321.59,1.19672,0.92358,1.22761,0.62197,0.69022,0.60723,0.36988,1.3789,1.2212,1.23015,0.0012278,0.0012278,0.0012278
80,5388.8,1.18862,0.95192,1.23922,0.60529,0.68341,0.62441,0.3613,1.3906,1.16802,1.22463,0.0012179,0.0012179,0.0012179
81,5455.34,1.20497,0.89837,1.2523,0.64391,0.70109,0.6377,0.36788,1.37526,1.09668,1.23562,0.001208,0.001208,0.001208
82,5522.72,1.19609,0.93848,1.24641,0.65534,0.66304,0.61591,0.35809,1.40434,1.1545,1.23547,0.0011981,0.0011981,0.0011981
83,5590.08,1.18936,0.92618,1.23271,0.58463,0.6087,0.53831,0.31057,1.47109,1.24004,1.28833,0.0011882,0.0011882,0.0011882
84,5656.12,1.21605,0.94363,1.25522,0.61541,0.72181,0.63798,0.37692,1.37978,1.16368,1.22766,0.0011783,0.0011783,0.0011783
85,5731.95,1.20534,0.9319,1.25039,0.61049,0.68478,0.62551,0.37189,1.36297,1.16271,1.21063,0.0011684,0.0011684,0.0011684
86,5798.34,1.20319,0.89057,1.23956,0.60356,0.65366,0.6173,0.36789,1.37425,1.18318,1.24066,0.0011585,0.0011585,0.0011585
87,5865.08,1.17126,0.90095,1.22935,0.62109,0.65922,0.6299,0.38687,1.31184,1.13344,1.18552,0.0011486,0.0011486,0.0011486
88,5940.79,1.1809,0.92528,1.24125,0.60789,0.73302,0.62565,0.38544,1.37193,1.15933,1.19585,0.0011387,0.0011387,0.0011387
89,6008.06,1.1925,0.92655,1.25321,0.60774,0.69047,0.60415,0.36911,1.37927,1.16623,1.23392,0.0011288,0.0011288,0.0011288
90,6075.17,1.16871,0.91644,1.24603,0.66398,0.71196,0.64392,0.38582,1.39215,1.10793,1.25548,0.0011189,0.0011189,0.0011189
91,6142.54,1.1592,0.92482,1.24136,0.67512,0.66304,0.63167,0.3854,1.31317,1.13889,1.20662,0.001109,0.001109,0.001109
92,6209.83,1.18337,0.90817,1.22695,0.6509,0.65761,0.61621,0.3791,1.36685,1.16339,1.21737,0.0010991,0.0010991,0.0010991
93,6277.28,1.20055,0.90151,1.23224,0.62548,0.61413,0.54827,0.3156,1.43807,1.24058,1.27484,0.0010892,0.0010892,0.0010892
